staid,DTW_BGS,X,Y
T008E,2.24,397073.7338,4073673.113
T008E1,1.89,397026.7331,4073663.113
T008F,3.02,397012.7336,4073870.119
T008G,2.34,396908.7332,4074191.13
T008K,-0.02,397099.7339,4073594.11
T012J,3.35,379617.4969,4131425.31
T012X,3.4,379780.501,4131393.306
T013I,0.67,396506.7252,4073390.115
T013L,2.22,396527.7254,4073369.114
T013p,-0.43,396523.7255,4073416.115
T013T,2.98,396547.7257,4073354.113
T02AE,5.53,381465.5685,4127214.179
T02AF,2.51,381477.5672,4127455.185
T02AG,1.62,381493.5653,4127794.192
T023,3.48,393704.6941,4075919.236
T024A,6.97,396806.7218,4071103.047
T052A,11.41,390577.6593,4080837.445
T107,15.81,379541.382,4145959.653
T108,1.53,373251.511,4137550.205
T110A,19.52,373652.2489,4141071.659
T232A,6.7,387141.6963,4114491.997
T302,2.65,388087.6867,4106449.976
T304A,3.4,377282.3875,4137433.497
T306B,5.13,375652.3384,4137932.541
T313B,3.31,380512.4272,4144014.587
T362,19.38,396836.7706,4061641.883
T364,20.65,396422.7285,4065570.935
T372,11.1,374562.2912,4139585.604
T374,1.71,396525.7394,4077753.235
T375,7.23,396932.7454,4077808.228
T376,4.07,392969.7113,4087650.596
T377,4.85,393290.7167,4087647.588
T378,32.48,408349.8337,4053844.62
T379,24.21,404387.8127,4063715.801
T380,5.94,392772.7081,4087693.602
T381,6.24,393458.7195,4087674.584
T382,1.69,396359.7368,4077714.237
T383,6.46,397096.7479,4077847.226
T384,5.53,374567.296,4139141.592
T387,2.98,374820.3497,4134685.477
T389,6.9,374057.3268,4135000.499
T390,5.31,373210.2931,4136067.542
T391,4.97,371887.99,4136831.07
T392,9.14,374877.32,4137659.549
T394,37.83,402242.8246,4057184.751
T396,28.29,402261.8244,4057247.752
T398,1.89,399129.7781,4062541.861
T400,3.52,400131.7824,4062968.852
T402,8.77,398390.7477,4065603.908
T403,4.19,396960.7135,4067682.953
T404,4.42,397027.7152,4068251.966
T405,-1.39,397308.7348,4073051.092
T406,0.17,398182.7469,4073161.08
T407,8.28,396226.7204,4073058.11
T408,1.3,395129.7103,4074626.173
T409,-0.35,394665.7034,4074421.175
T412,1.54,393640.695,4076611.257
T413,7.15,389706.6495,4082883.528
T414,3.75,389619.6483,4083009.534
T415,7.5,390267.6656,4087224.65
T416,-0.18,390323.6675,4087812.667
T417,17.64,389695.6602,4089769.745
T418,3.12,391600.6988,4092761.785
T419,2.14,390930.6868,4092746.804
T420,7.68,391388.7004,4095511.875
T421,29.15,390434.6848,4096334.908
T422,7.64,389407.6932,4106026.953
T423,6.61,389815.6992,4105781.945
T424,5.19,390191.7039,4105242.936
T425,0.67,389004.9808,4107641.919
T426,5.45,389552.7015,4108105.953
T427,7.04,390110.7123,4108836.946
T428,10.32,387599.6999,4114454.989
T429,5.23,387899.7026,4114567.985
T430,15.81,376815.4163,4132981.398
T433A,3.88,379874.439,4139882.504
T434,3.38,380272.4494,4140012.499
T435,2.09,379736.4171,4142220.561
T436,3.15,379597.4171,4141687.552
T438,2.74,376840.3298,4142332.624
T440,0.97,397676.734,4071391.041
T442,8.75,400448.7622,4066550.891
T443,3.81,398823.7444,4066569.914
T444,3.59,401527.793,4062957.832
